epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10837.3,0.65274,0.34686,0.94563,0.96648,0.94854,0.9698,0.86852,0.48741,0.24388,0.8234,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11165,0.64741,0.34573,0.94503,0.96742,0.9504,0.96975,0.86924,0.48592,0.24432,0.82552,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11493.4,0.64672,0.34382,0.94485,0.9707,0.94917,0.96895,0.87106,0.48321,0.24521,0.82492,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11822.9,0.63863,0.33802,0.93922,0.97062,0.94638,0.96712,0.87179,0.48263,0.24065,0.82293,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12151.9,0.63937,0.33838,0.93798,0.96991,0.94911,0.96888,0.87204,0.48526,0.242,0.82019,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12481,0.63527,0.33492,0.93704,0.96949,0.94801,0.96991,0.87264,0.48257,0.2398,0.82167,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12809.3,0.62929,0.33351,0.93214,0.97159,0.95066,0.97074,0.872,0.48091,0.23666,0.82073,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13136.8,0.6198,0.32911,0.93417,0.97468,0.94943,0.97217,0.87242,0.47863,0.23892,0.82176,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,13465.1,0.62189,0.32835,0.93092,0.97644,0.94934,0.97282,0.87298,0.47933,0.23882,0.82222,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13794.2,0.61973,0.32468,0.93103,0.97525,0.95096,0.97168,0.87449,0.4796,0.23862,0.82377,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,14122.8,0.6137,0.32476,0.92606,0.97529,0.95278,0.9724,0.87534,0.47756,0.23644,0.8215,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14451.6,0.6104,0.32085,0.92628,0.97338,0.95063,0.97165,0.87574,0.47567,0.23509,0.82075,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,14780.5,0.60649,0.31844,0.92779,0.97387,0.94801,0.97104,0.87672,0.47484,0.2335,0.82076,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,15108.5,0.60461,0.31741,0.92691,0.97244,0.95093,0.97147,0.87734,0.47509,0.23371,0.82127,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,15437.2,0.60008,0.31644,0.92468,0.97238,0.95305,0.9724,0.87738,0.47547,0.23197,0.82192,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,15764.5,0.59815,0.31412,0.92319,0.9742,0.95136,0.97272,0.87762,0.47679,0.23191,0.82251,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,16092.4,0.60054,0.31662,0.92583,0.97461,0.95066,0.97286,0.87813,0.4763,0.23244,0.82252,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,16419.8,0.59324,0.31049,0.9221,0.9754,0.95013,0.97331,0.87832,0.47469,0.23192,0.82192,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,16748.4,0.58864,0.3071,0.91748,0.97546,0.95066,0.97355,0.87837,0.47525,0.23156,0.82198,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,17077.4,0.58442,0.30481,0.91422,0.97421,0.95173,0.97339,0.87868,0.47416,0.23184,0.82161,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,17406,0.58429,0.30765,0.9145,0.97474,0.95183,0.97363,0.87797,0.47465,0.23117,0.82202,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,17734.8,0.58068,0.30467,0.91557,0.97368,0.95176,0.97323,0.87864,0.4739,0.23092,0.82219,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,18063.1,0.57911,0.30181,0.91213,0.97524,0.95279,0.97366,0.87866,0.47371,0.23111,0.82209,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,18390.6,0.57475,0.30026,0.90989,0.97447,0.9516,0.97315,0.87907,0.4734,0.23041,0.82177,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,18719.7,0.56941,0.29823,0.90807,0.97237,0.9521,0.97337,0.8792,0.47307,0.22977,0.82121,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,19047.1,0.56969,0.29696,0.9052,0.97236,0.95225,0.97323,0.87947,0.47287,0.22921,0.82086,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,19376.5,0.56482,0.29254,0.90099,0.97204,0.95279,0.97345,0.87987,0.47234,0.22853,0.82069,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,19705,0.56145,0.29162,0.90344,0.97391,0.95073,0.97306,0.87952,0.47235,0.22705,0.8205,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,20033.5,0.55854,0.28954,0.89936,0.97393,0.9512,0.97311,0.8795,0.47234,0.22715,0.81955,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,20362.4,0.55451,0.28919,0.89792,0.97473,0.95134,0.97328,0.8798,0.47279,0.22621,0.81964,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,20690.1,0.55161,0.28803,0.89901,0.97417,0.95093,0.97308,0.87989,0.47265,0.22545,0.81934,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,21018.4,0.54849,0.28389,0.89707,0.97454,0.9504,0.97321,0.87975,0.47314,0.22483,0.81932,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,21346.7,0.54507,0.28099,0.89618,0.97417,0.95043,0.97315,0.8805,0.47243,0.22452,0.81928,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,21675.5,0.54485,0.28222,0.89627,0.97576,0.94987,0.97322,0.88065,0.47277,0.22455,0.81935,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,22005.1,0.54106,0.28063,0.89562,0.9751,0.94934,0.97367,0.881,0.47248,0.22431,0.81877,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,22334.6,0.53965,0.27855,0.89477,0.9745,0.94934,0.97359,0.88168,0.47216,0.22394,0.81833,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,22663.6,0.53329,0.27738,0.89335,0.97503,0.95093,0.9736,0.88166,0.47194,0.22352,0.81826,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,23025,0.52868,0.27484,0.89004,0.97523,0.95034,0.97353,0.88134,0.47183,0.22287,0.8178,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,23358.2,0.52904,0.27383,0.8901,0.97578,0.95117,0.97371,0.88163,0.47189,0.22304,0.81788,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,23685.8,0.52345,0.27085,0.88848,0.97553,0.95155,0.97365,0.88178,0.47156,0.22267,0.81781,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,24013.3,0.52417,0.27011,0.88376,0.97658,0.95115,0.97365,0.88199,0.47178,0.22295,0.81747,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,24340.5,0.51652,0.26819,0.88677,0.97604,0.95084,0.97334,0.88224,0.47221,0.22246,0.81781,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,24668.1,0.51595,0.26613,0.88746,0.97582,0.95066,0.9732,0.88248,0.47236,0.22291,0.81805,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,24995.8,0.50861,0.26319,0.88248,0.97578,0.95127,0.97354,0.88224,0.47277,0.22323,0.81828,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,25322,0.51005,0.26392,0.88234,0.9761,0.95172,0.97347,0.88252,0.47253,0.22341,0.81853,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,25649.5,0.50455,0.26125,0.8827,0.97605,0.95146,0.97341,0.88286,0.4723,0.22322,0.8184,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,25976.3,0.50234,0.25879,0.88151,0.9765,0.95172,0.97334,0.8832,0.47249,0.22358,0.81807,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,26302.9,0.50213,0.25921,0.88228,0.97705,0.95146,0.97317,0.88334,0.47185,0.22326,0.81801,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,26631.7,0.49602,0.25341,0.88098,0.97734,0.95146,0.97343,0.88377,0.47119,0.22316,0.81803,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,26959,0.49366,0.25389,0.8781,0.97663,0.95172,0.97324,0.8838,0.47102,0.2233,0.81804,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,27286.1,0.48876,0.25112,0.87591,0.9766,0.95196,0.9736,0.88417,0.47092,0.22322,0.81785,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,27613.9,0.48868,0.25132,0.87343,0.97661,0.95245,0.97362,0.88427,0.4709,0.22282,0.81769,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,27941.2,0.48273,0.24717,0.87207,0.97713,0.95214,0.97392,0.88464,0.47036,0.22334,0.81749,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,28267.8,0.47966,0.24666,0.87206,0.97658,0.95135,0.97375,0.88465,0.46985,0.22273,0.81748,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,28596.1,0.47623,0.24467,0.87127,0.97685,0.9514,0.97389,0.88539,0.46966,0.22216,0.81735,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,28923.2,0.47188,0.24194,0.8702,0.97649,0.95119,0.97399,0.88549,0.46935,0.22196,0.81704,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,29251,0.47367,0.24117,0.87073,0.97685,0.95153,0.97437,0.88591,0.46944,0.22296,0.81696,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,29577.8,0.46596,0.23698,0.86862,0.97764,0.95091,0.97444,0.8863,0.46888,0.22208,0.81657,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,29906.3,0.46709,0.23751,0.8708,0.97712,0.95153,0.97453,0.88656,0.46849,0.22192,0.81613,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,30246.7,0.4337,0.20604,0.83295,0.97763,0.95058,0.9747,0.88633,0.46795,0.222,0.81611,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,30571,0.42478,0.20147,0.83088,0.97763,0.95065,0.97467,0.88646,0.46821,0.22202,0.81603,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,30896.2,0.42056,0.20043,0.82892,0.97791,0.95109,0.9749,0.88686,0.46807,0.22207,0.81606,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,31221.8,0.41636,0.19753,0.82769,0.97845,0.95165,0.97529,0.88717,0.46742,0.22164,0.81602,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,31548.5,0.40983,0.19487,0.82785,0.97791,0.95107,0.97484,0.88752,0.46724,0.22136,0.81599,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,31875.4,0.40603,0.19188,0.82484,0.97818,0.95122,0.97496,0.88813,0.46737,0.22123,0.81615,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,32201.2,0.40155,0.19,0.82336,0.97871,0.9512,0.97504,0.88832,0.46718,0.22124,0.81625,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,32528.1,0.39825,0.18711,0.82231,0.97925,0.95146,0.97553,0.88891,0.467,0.22109,0.81606,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,32854.8,0.39391,0.18513,0.82067,0.97927,0.95146,0.9756,0.88922,0.46658,0.22093,0.81615,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,33182.4,0.39038,0.18371,0.8194,0.97899,0.95165,0.9755,0.88927,0.46633,0.22087,0.81625,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
